shap,b,h,t,l,fy,fc,et,eb,n,A
1.00,114.30,114.30,6.00,343.00,342.95,73.30,0.00,0.00,1361.60,13064.49
1.00,219.00,219.00,4.73,650.00,350.00,41.90,0.00,0.00,2900.00,47961
1.00,219.00,219.00,4.74,650.00,350.00,41.90,0.00,0.00,2680.00,47961
1.00,165.00,165.00,2.43,510.00,350.00,68.70,0.00,0.00,2080.00,27225
1.00,165.00,165.00,2.76,510.00,350.00,68.70,0.00,0.00,2060.00,27225
1.00,165.00,165.00,2.81,510.00,350.00,68.70,0.00,0.00,2160.00,27225
1.00,165.00,165.00,2.81,510.00,350.00,68.70,0.00,0.00,2095.00,27225
1.00,165.00,165.00,2.76,510.00,350.00,68.70,0.00,0.00,2250.00,27225
1.00,165.00,165.00,2.72,510.00,350.00,48.50,0.00,0.00,1750.00,27225
1.00,165.00,165.00,2.74,510.00,350.00,48.50,0.00,0.00,1785.00,27225
1.00,165.00,165.00,2.75,510.00,350.00,38.40,0.00,0.00,1560.00,27225
1.00,95.00,95.00,12.50,1420.00,279.00,20.60,0.00,0.00,947.00,9025
1.00,95.00,95.00,12.75,1420.00,277.00,20.60,0.00,0.00,938.00,9025
1.00,95.00,95.00,12.40,1420.00,277.00,20.60,0.00,0.00,907.00,9025
1.00,95.00,95.00,12.60,860.00,279.00,20.60,0.00,0.00,1018.00,9025
1.00,95.00,95.00,12.70,860.00,277.00,20.60,0.00,0.00,1008.00,9025
1.00,95.00,95.00,12.70,860.00,277.00,20.60,0.00,0.00,1034.00,9025
1.00,95.00,95.00,12.80,1980.00,283.00,20.60,0.00,0.00,886.00,9025
1.00,95.00,95.00,12.50,1980.00,280.00,20.60,0.00,0.00,907.00,9025
1.00,95.00,95.00,12.60,1980.00,294.00,20.60,0.00,0.00,917.00,9025
1.00,95.00,95.00,3.66,860.00,332.00,25.30,0.00,0.00,656.00,9025
1.00,95.00,95.00,3.68,860.00,392.00,25.30,0.00,0.00,686.00,9025
1.00,95.00,95.00,3.40,860.00,340.00,25.30,0.00,0.00,656.00,9025
1.00,95.00,95.00,3.86,1420.00,332.00,25.30,0.00,0.00,567.00,9025
1.00,95.00,95.00,3.91,1420.00,392.00,25.30,0.00,0.00,606.00,9025
1.00,95.00,95.00,3.58,1420.00,340.00,25.30,0.00,0.00,576.00,9025
1.00,95.00,95.00,3.76,1980.00,332.00,25.30,0.00,0.00,536.00,9025
1.00,95.00,95.00,3.78,1980.00,392.00,25.30,0.00,0.00,567.00,9025
1.00,95.00,95.00,3.51,1980.00,340.00,25.30,0.00,0.00,488.00,9025
1.00,216.00,216.00,4.06,2220.00,289.00,23.20,0.00,0.00,1023.00,46656
1.00,216.00,216.00,4.11,2220.00,304.00,23.20,0.00,0.00,1834.00,46656
1.00,216.00,216.00,4.04,2220.00,293.00,30.20,0.00,0.00,2289.00,46656
1.00,216.00,216.00,4.11,2220.00,291.00,30.20,0.00,0.00,2239.00,46656
1.00,216.00,216.00,6.05,2220.00,395.00,23.20,0.00,0.00,2462.00,46656
1.00,216.00,216.00,5.97,2220.00,399.00,23.20,0.00,0.00,2421.00,46656
1.00,216.00,216.00,6.50,2220.00,300.00,30.20,0.00,0.00,2804.00,46656
1.00,216.00,216.00,6.30,2220.00,411.00,30.20,0.00,0.00,2932.00,46656
1.00,95.00,95.00,3.86,1980.00,337.00,24.40,0.00,0.00,498.00,9025
1.00,95.00,95.00,3.40,1980.00,343.00,24.40,0.00,0.00,473.00,9025
1.00,95.00,95.00,3.58,1980.00,360.00,24.40,0.00,0.00,473.00,9025
1.00,95.00,95.00,3.73,1980.00,332.00,24.40,0.00,0.00,413.00,9025
1.00,121.00,121.00,3.66,1050.00,300.00,21.40,0.00,0.00,695.00,14641
1.00,121.00,121.00,3.73,1050.00,333.00,21.40,0.00,0.00,746.00,14641
1.00,121.00,121.00,3.76,1050.00,313.00,24.60,0.00,0.00,837.00,14641
1.00,121.00,121.00,3.99,1050.00,332.00,24.60,0.00,0.00,867.00,14641
1.00,121.00,121.00,5.61,1050.00,349.00,21.40,0.00,0.00,998.00,14641
1.00,121.00,121.00,5.41,1050.00,348.00,21.40,0.00,0.00,1018.00,14641
1.00,121.00,121.00,5.46,1050.00,336.00,24.60,0.00,0.00,1099.00,14641
1.00,121.00,121.00,5.56,1050.00,327.00,24.60,0.00,0.00,1079.00,14641
1.00,121.00,121.00,3.71,2310.00,300.00,21.40,0.00,0.00,641.00,14641
1.00,121.00,121.00,3.76,2310.00,333.00,21.40,0.00,0.00,629.00,14641
1.00,121.00,121.00,3.71,2310.00,313.00,24.60,0.00,0.00,695.00,14641
1.00,121.00,121.00,3.86,2310.00,332.00,24.60,0.00,0.00,755.00,14641
1.00,121.00,121.00,5.69,2310.00,349.00,21.40,0.00,0.00,786.00,14641
1.00,121.00,121.00,5.49,2310.00,348.00,21.40,0.00,0.00,816.00,14641
1.00,121.00,121.00,5.64,2310.00,336.00,24.60,0.00,0.00,874.00,14641
1.00,121.00,121.00,5.44,2310.00,327.00,24.60,0.00,0.00,865.00,14641
1.00,69.90,69.90,1.24,1524.00,532.00,28.30,0.00,0.00,230.90,4886.01
1.00,76.20,76.20,1.65,1524.00,532.00,27.40,0.00,0.00,226.40,5806.44
1.00,76.20,76.20,1.65,1524.00,532.00,27.40,0.00,0.00,245.10,5806.44
1.00,76.20,76.20,1.65,1524.00,532.00,27.70,0.00,0.00,320.30,5806.44
1.00,101.68,101.68,3.07,1524.00,605.08,34.13,0.00,0.00,818.47,10338.04965
1.00,101.73,101.73,3.10,1524.00,605.08,31.16,0.00,0.00,800.68,10348.38253
1.00,101.70,101.70,3.07,203.28,605.08,34.13,0.00,0.00,1112.06,10343.21544
1.00,101.70,101.70,3.07,203.25,605.08,31.16,0.00,0.00,1067.57,10343.21544
1.00,120.65,120.65,4.09,1050.04,451.61,34.40,0.00,0.00,1156.54,14556.4225
1.00,120.83,120.83,4.09,1050.04,451.61,29.58,0.00,0.00,1092.71,14599.35725
1.00,120.83,120.83,4.09,1050.04,451.61,25.92,0.00,0.00,949.70,14599.35725
1.00,120.83,120.83,4.06,241.33,451.61,34.40,0.00,0.00,1201.02,14599.35725
1.00,120.80,120.80,4.09,241.35,451.61,29.58,0.00,0.00,1201.02,14593.21985
1.00,120.83,120.83,4.09,241.35,451.61,25.92,0.00,0.00,1112.06,14599.35725
1.00,152.60,152.60,3.15,1676.40,415.13,20.89,0.00,0.00,938.57,23287.73665
1.00,152.70,152.70,3.15,1676.40,415.13,23.10,0.00,0.00,880.75,23318.75594
1.00,152.63,152.63,3.18,304.80,415.13,20.89,0.00,0.00,1201.02,23295.48954
1.00,152.60,152.60,3.15,304.93,415.13,23.10,0.00,0.00,1201.02,23287.73665
1.00,152.58,152.58,4.93,304.90,633.42,41.99,0.00,0.00,2909.14,23279.98505
1.00,152.55,152.55,4.90,304.88,633.42,43.44,0.00,0.00,2913.59,23272.23475
1.00,76.48,76.48,1.70,1524.00,363.28,24.96,0.00,0.00,244.65,5849.098624
1.00,76.43,76.43,1.70,152.35,363.28,24.96,0.00,0.00,355.86,5841.330898
1.00,76.43,76.43,1.73,609.55,363.28,40.89,0.00,0.00,411.46,5841.330898
1.00,76.48,76.48,1.73,609.45,363.28,25.92,0.00,0.00,330.28,5849.098624
1.00,76.45,76.45,1.68,152.35,363.28,40.89,0.00,0.00,434.59,5845.214116
1.00,76.43,76.43,1.70,152.37,363.28,25.92,0.00,0.00,372.32,5841.330898
1.00,76.45,76.45,1.70,152.40,363.28,33.30,0.00,0.00,433.26,5845.214116
1.00,76.45,76.45,1.73,152.48,363.28,33.30,0.00,0.00,434.59,5845.214116
1.00,114.30,114.30,3.18,914.00,420.00,29.40,0.00,0.00,712.00,13064.49
1.00,114.30,114.30,3.18,914.00,420.00,29.40,0.00,0.00,756.00,13064.49
1.00,127.00,127.00,2.41,914.00,294.00,35.60,0.00,0.00,627.00,16129
